talent_id,display_name,status,layer_type,branch_tag,row_index,column_index,cost_mastery_points,prerequisite_talent_ids,prerequisite_branch_mastery,grants_branch_mastery,unlock_card_ids,grants_card_copy_bonus,grants_impact_capacity_bonus,grants_overlimit_slots,grants_player_hp,grants_energy,grants_move,modifies_learning,description,design_goal,implementation_priority,notes
talent_melee_1,近战训练I,prototype,card_branch,melee,1,1,1,,0,1,,0,0,0,0,0,0,false,"近战专精 +1","作为近战流派入口","P0","基础起点节点"
talent_ranged_1,远程训练I,prototype,card_branch,ranged,1,3,1,,0,1,,0,0,0,0,0,0,false,"远程专精 +1","作为远程流派入口","P0","基础起点节点"
talent_flex_1,灵活训练I,prototype,card_branch,flex,1,5,1,,0,1,,0,0,0,0,0,0,false,"灵活专精 +1","作为灵活流派入口","P0","基础起点节点"
talent_melee_guard,铁壁步法,prototype,card_branch,melee,2,1,1,talent_melee_1,1,1,card_anchor_stance,0,0,0,0,0,0,false,"近战专精 +1 并解锁锚定架势","让近战路线尽快形成防御身份","P0","偏站桩防守"
talent_ranged_pressure,压制校准,prototype,card_branch,ranged,2,3,1,talent_ranged_1,1,1,card_ricochet_ping,0,0,0,0,0,0,false,"远程专精 +1 并解锁跳弹试探","让远程路线获得稳定节奏牌","P0","偏压制与站位"
talent_flex_motion,机动预判,prototype,card_branch,flex,2,5,1,talent_flex_1,1,1,card_ghost_step,0,0,0,0,0,0,false,"灵活专精 +1 并解锁幽步","让灵活路线快速获得机动牌","P0","偏 Quick 与走位"
talent_learning_protocol,战斗记录协议,prototype,cross,flex,3,4,2,talent_flex_1|talent_ranged_1,1,0,card_learning_protocol,0,0,0,0,0,0,true,"解锁学习卡 战斗记录","作为学习机制正式入口","P0","跨层关键节点"
talent_role_reserve,应急储备,prototype,role_ability,,2,7,1,,0,0,,0,0,0,0,1,0,false,"角色能量上限 +1","提高整体资源容错","P0","偏通用能力"
talent_role_capacity,扩展挂载,prototype,role_ability,,3,7,1,talent_role_reserve,0,0,,0,2,0,0,0,0,false,"影响因子总承载 +2","提高牌组整体负载能力","P0","替代最大牌数成长"
talent_role_stride,战场跨步,prototype,role_ability,,4,7,2,talent_flex_motion,2,0,,0,0,0,0,0,1,false,"移动力 +1","让灵活投资反哺角色机动","P1","角色能力受分支门槛约束"
talent_cross_close_quarters,贴身切入,prototype,cross,melee,3,2,2,talent_melee_1|talent_flex_1,1,0,card_momentum_slice,0,0,0,0,0,0,false,"解锁顺势切开","演示近战与灵活的交叉节点","P1","Quick 近战牌的安全落点"
talent_role_study_rig,现场研判,prototype,role_ability,,4,5,2,talent_learning_protocol,0,0,,0,1,1,0,0,0,true,"学习相关牌影响因子承载 +1 并获得 1 个超规槽位","支持学习构筑的过渡期使用","P1","用于学会但尚未完全适配的牌"
talent_ranged_focus,远距聚焦,prototype,card_branch,ranged,4,3,2,talent_ranged_pressure,2,1,,0,0,0,0,0,0,false,"远程专精 +1","为 Boss 学习牌和高阶远程牌开门","P1","分支深度节点"
talent_melee_bulwark,重压强攻,prototype,card_branch,melee,4,1,2,talent_melee_guard,2,1,,1,0,0,2,0,0,false,"近战专精 +1 且近战牌复制上限 +1 角色生命 +2","让近战厚度与生存形成绑定","P1","强化近战身份"
